GrowerNumber,PreviousWorkbookName,PreviousPool,PreviousStatus,CurrentWorkbookName,CurrentPoolStarts,CurrentStatus,Category,OldAliasDisposition,PoolDisposition
1010,MFR - FUJI ORCH-BLK A,FA,Active,MFR - FUJI BLK A ORG,FA,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1011,,,Absent,MFR-FUJI BLK A ORG CHIL,F6,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1012,,,Absent,MFR - FUJI BLK A CONV,F7,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1020,MFR - FUJI ORCH-BLK B,FB,Active,MFR - FUJI BLK B ORG,FB,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1021,,,Absent,MFR-FUJI BLK B ORG CHIL,F8,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1022,,,Absent,MFR - FUJI BLK B CONV,F9,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1030,MFR - FUJI ORCH-BLK C,FG,Active,MFR - FUJI BLK C ORG,FG,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1031,MFR - FUJI ORCH-BLK C- trans block,FT,Active,MFR-FUJI BLK OC ORG,FT,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1032,,,Absent,MFR-FUJI BLK C ORG CHIL,IW,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1033,,,Absent,MFR - FUJI BLK C CONV,1F,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1034,,,Absent,MFR-FUJI BK OC ORG CHIL,H8,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1035,,,Absent,MFR - FUJI BLK OC CONV,8F,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1040,MFR - FUJI ORCH-BLK D,FD,Active,MFR - FUJI BLK D ORG,FD,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1041,,,Absent,MFR-FUJI BLK D ORG CHIL,2F,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1042,,,Absent,MFR - FUJI BLK D CONV,3F,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1050,MFR - FUJI ORCH-BLK E,FE,Active,MFR - FUJI BLK E ORG,FE,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1051,,,Absent,MFR-FUJI BLK E ORG CHIL,4F,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1052,,,Absent,MFR - FUJI BLK E CONV,5F,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1060,INACTIVE,,Inactive,INACTIVE - PHOENIX,,Inactive,Still inactive,Not applicable,
1061,INACTIVE 2400,,Inactive,INACTIVE - PHOENIX 2400,,Inactive,Still inactive,Not applicable,
1062,INACTIVE 3900,,Inactive,INACTIVE - PHOENIX 3900,,Inactive,Still inactive,Not applicable,
1063,INACTIVE 3900,,Inactive,INACTIVE - PHOENIX 3900,,Inactive,Still inactive,Not applicable,
1070,MFR - FUJI ORCH-BLK F,FF,Active,MFR - FUJI BLK F ORG,FF,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1071,,,Absent,MFR-FUJI BLK F ORG CHIL,6F,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1072,,,Absent,MFR - FUJI BLK F CONV,7F,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1080,WINDY POINT,WP,Active,WP ORCHARD ORG CHIL,WP,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1081,WP Orchard - EAST POINT,WS,Active,EAST POINT ORG CHIL,WS,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1082,WP Orchard - EP Non-Chilean,WN,Active,EAST POINT ORG,WN,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1083,,,Absent,EAST POINT CONV,EP,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1084,,,Absent,WP ORCHARD CONV,WQ,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1085,WP ORCHARD -NON CHILEAN,WC,Active,WP ORCHARD ORG,WC,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1090,VANTAGE ORCHARDS,VA,Active,VANTAGE ORCH ORG CHIL,VA,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1091,,,Absent,VANTAGE ORCHARDS CONV,VZ,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1095,VANTAGE ORCHARDS NON-CHILEAN,VC,Active,VANTAGE ORCHARDS ORG,VC,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1100,INACTIVE,,Inactive,INACTIVE - WPO,,Inactive,Still inactive,Not applicable,
1110,FRENCHMAN ORCHARD,FR,Active,FRENCHMAN ORCH ORG CHIL,FR,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1112,,,Absent,FRENCHMAN ORCH CONV,F3,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1115,FRENCHMAN ORCHARD NON-CHILEAN,F1,Active,FRENCHMAN ORCH ORG,F1,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
